SOURCE	TARGET	ENZYMES
C00025	C00624	2.3.1.1
C00025	C04640	
C00025	C00352	2.6.1.16
C00025	C05928	6.3.2.17;6.3.2.12
C00025	C00051	
C00025	C00957	;2.6.1.1;2.6.1.3
C00025	C01045	2.1.2.5
C14787	C14851	3.3.2.9;2.5.1.18;1.14.14.1;3.3.2.10
C14787	C00051	;2.5.1.18
C05841	C00242	
C05841	C00330	
C05841	C00147	
C05841	C00055	
C05841	C00559	
C05841	C00214	
C05841	C01185	;3.1.3.5;2.4.2.11
C00128	C00055	;2.4.99.10;2.4.99.6;2.4.99.7;2.4.99.4;2.4.99.3;2.4.99.1;2.4.99.8;2.4.99.9
C00128	C04776	2.4.99.4
C00147	C00242	2.4.2.1;2.4.2.8;2.4.2.4;2.4.2.7
C00147	C00330	2.4.2.1;2.4.2.4
C00147	C00170	
C00147	C00559	2.4.2.1;2.4.2.4
C00147	C00214	2.4.2.4
C16634	C00055	
C05647	C00780	
C05647	C05648	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C14851	C00051	2.5.1.18;2.5.1.28
C00570	C00055	;2.7.8.1;2.7.8.2
C00780	C03758	;4.1.1.28;1.14.14.1;1.4.3.4
C00780	C05648	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C05634	1.4.3.4
C00645	C00074	2.5.1.57;2.5.1.56;2.7.1.60;;5.1.3.14;4.2.1.11;4.1.3.3;4.1.1.32;5.1.3.8;2.7.1.40
C00559	C00242	
C00559	C00330	
C00559	C00055	
C00559	C00214	
C00559	C01185	3.1.3.5
C00051	CE5536	;2.5.1.18
C00214	C00242	3.1.3.5;2.4.2.4
C00214	C00330	3.1.3.5;2.4.2.4
C00214	C00055	
C00214	C01185	3.1.3.5
C02220	C03824	
C00055	C00330	3.1.3.5
C00055	C04776	2.4.99.4
C00055	C00137	2.7.8.11
C00055	C01185	;3.1.3.5
CE5541	CE5536	
C00330	C00242	2.4.2.1;3.1.3.5;2.4.2.4
C00330	C01185	3.1.3.5
C07501	C16584	1.14.14.1
C05634	C03758	
C02934	C00836	1.1.1.102
C03758	CE2172	
