CPD_ID	CPD_NAME	CPD_STATISTIC
C00025	L-Glutamate	8.04142981194
andrstndn	Androstenedione	-6.25310278518
CE5627	salsoline-1-carboxylate	6.75250280543
C00068	Thiamin diphosphate	-7.81838283026
CE5629	1,2-dehydrosalsolinol	-7.53942975324
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	-9.75912484215
C00140	N-Acetyl-D-glucosamine	11.1897525444
C05520	2-Amino-3-oxoadipate	-5.21736590386
C00147	Adenine	12.4368545377
C01829	O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine	8.63122362305
C01107	(R)-5-Phosphomevalonate	-13.1956772871
C06377	D-Galactosamine 6-phosphate	12.026414889
C00788	L-Adrenaline	4.6621967173
C05647	Formyl-5-hydroxykynurenamine	-8.04938589155
C05642	Formyl-N-acetyl-5-methoxykynurenamine	6.79060275091
C00437	N-Acetylornithine	14.2666000207
C05640	Cinnavalininate	-8.12216502906
C00624	N-Acetyl-L-glutamate	9.98950255003
C00780	3-(2-Aminoethyl)-1H-indol-5-ol	14.2666000207
C01586	Hippurate	-4.60350975716
C05648	5-Hydroxy-N-formylkynurenine	-6.25005645088
C00534	Pyridoxamine	7.34058417037
C00559	Deoxyadenosine	-4.73616329116
tymsf	Tyramine O-sulfate	6.71691741583
C00235	Dimethylallyl diphosphate	5.49269055331
C00159	D-Mannose	-4.60350975716
C05796	Galactan	-6.25310278518
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-8.27665670282
C02140	Corticosterone	6.8698069389
C00795	D-Tagatose	-4.60350975716
C00954	Indole-3-acetate	-4.87222696446
C00957	Mercaptopyruvate	6.46269196691
C01134	Pantetheine 4'-phosphate	-10.1115174801
C02934	3-Dehydrosphinganine	-5.47856830935
C01132	N-Acetyl-D-galactosamine	11.1897525444
C02336	beta-D-Fructose	-4.60350975716
C13747	1,7-Dimethylxanthine	-4.60350975716
C03758	Dopamine	6.15423274289
C00221	beta-D-Glucose	-4.60350975716
C05497	21-Deoxycortisol	6.8698069389
C01239	N-Acetyl-beta-D-glucosaminylamine	-5.73011194233
C04148	alpha-N-Phenylacetyl-L-glutamine	6.79060275091
C00095	D-Fructose	-4.60350975716
C14180	S-(Hydroxymethyl)glutathione	-5.84531492083
C04593	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate	7.34058417037
C00718	Amylose	-6.25310278518
C03691	CMP-N-glycoloylneuraminate	13.4893332694
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	-7.67587595115
CE1347	19-Hydroxydeoxycorticosterone	6.8698069389
CE1918	5-hydroxytryptophol	-7.53942975324
CE0520	(R)-glycerol 1-acetate	-6.05718196105
CE1936	spermine dialdehyde	-8.39632852478
C05548	6-Acetamido-2-oxohexanoate	6.21440814994
C00800	L-Gulonate	-7.48786750098
C00032	Heme	-9.27913458944
C00962	beta-D-Galactose	-4.60350975716
C00257	D-Gluconic acid	-7.48786750098
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	11.1897525444
C01005	O-Phospho-L-serine	4.50747351323
C00645	N-Acetyl-D-mannosamine	11.1897525444
C00490	Itaconate	12.026414889
C00643	5-Hydroxy-L-tryptophan	4.88629588085
C00330	Deoxyguanosine	6.92679988452
C02225	2-Methylcitrate	7.34058417037
C00319	Sphingosine	-5.47856830935
C01732	Mesaconate	12.026414889
C02220	2-Aminomuconate	-12.5624353569
CE2006	CE2006	-10.5585710276
C00079	L-Phenylalanine	-5.81518830202
CE5541	adrenochrome o-semiquinone	-4.60350975716
C05477	21-Hydroxy-5beta-pregnane-3,11,20-trione	6.8698069389
C07501	Felbamate	-7.02478667309
C06868	Carbamazepine	6.75250280543
C04537	N,N'-Diacetylchitobiosyldiphosphodolichol	10.9088223289
C00870	4-Nitrophenol	-4.19716497488
C05589	L-Normetanephrine	4.6621967173
C00074	Phosphoenolpyruvate	5.19227215449
C05923	2,5-Diaminopyrimidine nucleoside triphosphate	-9.75912484215
C00242	Guanine	6.71691741583
C06423	Octanoic acid	-4.09328975737
C00247	L-Sorbose	-4.60350975716
C00402	D-Aspartate	-4.59548979712
C16582	2-Hydroxyfelbamate	-12.138106566
