SOURCE	TARGET	ENZYMES
C14787	C14786	
C14787	C14851	3.3.2.9;2.5.1.18;1.14.14.1;3.3.2.10
C14787	C14850	3.3.2.9;1.14.14.1;3.3.2.10
C14787	C14868	2.5.1.18
C14787	C00051	;2.5.1.18
C14787	C11713	;1.14.14.1
C14787	C11714	
C14786	C14851	3.3.2.9;2.5.1.18;1.14.14.1;3.3.2.10
C14786	C14850	3.3.2.9;1.14.14.1;3.3.2.10
C14786	C14868	2.5.1.18
C14786	C00051	;2.5.1.18
C14786	C11713	;1.14.14.1
C14786	C11714	
C14851	C14868	2.5.1.18
C14851	C00051	2.5.1.18;2.5.1.28
C00127	C00051	;1.8.1.7;1.97.1.10;1.8.5.1;1.11.1.9;1.8.4.4;1.13.11.31;1.11.1.12
C00127	C01829	
C14868	C00051	
C01829	C00051	
CE5242	C00051	
CE5240	C00051	
C00051	CE5244	;2.5.1.18
