m/z	id	match_form	mz_difference	name	pathway
85.0278	C00544	M+2H[2+]	-0.0006	Homogentisate; Homogentisic acid; 2,5-Dihydroxyphenylacetic acid; 2,5-Dihydroxyphenylacetate	Tyrosine metabolism
85.0278	C01161	M+2H[2+]	-0.0006	3,4-Dihydroxyphenylacetate; 3,4-Dihydroxyphenylacetic acid; 3,4-Dihydroxyphenyl acetate; 3,4-Dihydroxyphenyl acetic acid; Homoprotocatechuate	Tyrosine metabolism
85.0278	C05577	M+2H[2+]	-0.0006	3,4-Dihydroxymandelaldehyde	Tyrosine metabolism
85.0278	C06006	M+H+Na[2+]	0.0006	(S)-2-Aceto-2-hydroxybutanoate; (S)-2-Hydroxy-2-ethyl-3-oxobutanoate	Butanoate metabolism
85.0278	C06144	M+H[1+]	-0.0006	3-Butynoate	Butanoate metabolism
85.0511	C00047	M+H+Na[2+]	0.0001	L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid	Lysine metabolism$Vitamin H (biotin) metabolism$Aspartate and asparagine metabolism$Lipoate metabolism
88.0221	C00642	M+H+Na[2+]	0.0002	4-Hydroxyphenylacetate; 4-Hydroxyphenylacetic acid	Tyrosine metabolism
88.0221	C04043	M+H+Na[2+]	0.0002	3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde	Tyrosine metabolism
88.0221	C05852	M+H+Na[2+]	0.0002	2-Hydroxyphenylacetate	Tyrosine metabolism
88.0221	C13636	M+H+Na[2+]	0.0002	4-Hydroxyphenyl acetate	
88.0387	C00439	M+2H[2+]	-0.0006	N-Formimino-L-glutamate; N-Formimidoyl-L-glutamate	Histidine metabolism
88.0387	C02218	M+H[1+]	-0.0006	2-Aminoacrylate; Dehydroalanine	Glycine, serine, alanine and threonine metabolism$Tyrosine metabolism$Methionine and cysteine metabolism
